locus,allele,freq
CSF1PO,6,0.00021575
CSF1PO,7,0.0453074
CSF1PO,8,0.0509169
CSF1PO,9,0.0524272
CSF1PO,10,0.251996
CSF1PO,11,0.211003
CSF1PO,12,0.358792
CSF1PO,13,0.029342
D10S1248,8,0.000123411
D10S1248,10,0.00123411
D10S1248,11,0.0349253
D10S1248,12,0.157226
D10S1248,13,0.317166
D10S1248,14,0.242009
D10S1248,15,0.174256
D10S1248,16,0.0571393
D10S1248,17,0.01592
D12S391,14,0.00348598
D12S391,15,0.0503882
D12S391,16,0.0430994
D12S391,17,0.192838
D12S391,17.1,0.00047536
D12S391,17.3,0.0123594
D12S391,18,0.218824
D12S391,18.1,0.00586278
D12S391,18.3,0.0312153
D12S391,19,0.118048
D12S391,20,0.115513
D12S391,21,0.0651244
D12S391,22,0.0285216
D12S391,23,0.0364443
D12S391,24,0.0568848
D12S391,25,0.0207574
D12S391,26,0.000158453
D13S317,6,0.00015748
D13S317,7,0.00362205
D13S317,8,0.0888189
D13S317,9,0.0135433
D13S317,10,0.0618898
D13S317,11,0.288346
D13S317,12,0.376693
D13S317,13,0.155276
D13S317,14,0.0114961
D13S317,15,0.00015748
D16S539,7,0.0009996
D16S539,8,0.0389844
D16S539,9,0.161935
D16S539,10,0.151739
D16S539,11,0.308677
D16S539,12,0.179728
D16S539,13,0.147541
D16S539,14,0.0103958
D18S51,9,0.000347222
D18S51,10,0.00625
D18S51,11,0.0126736
D18S51,12,0.113194
D18S51,13,0.116493
D18S51,14,0.109722
D18S51,15,0.0946181
D18S51,16,0.124479
D18S51,17,0.186285
D18S51,18,0.10816
D18S51,19,0.0703125
D18S51,20,0.0395833
D18S51,21,0.00208333
D18S51,22,0.00729167
D18S51,23,0.00833333
D18S51,24,0.000173611
D19S433,5.2,0.000134102
D19S433,9,0.000402307
D19S433,9.2,0.000804613
D19S433,10,0.0152876
D19S433,10.2,0.0100577
D19S433,11,0.0619552
D19S433,11.2,0.00187743
D19S433,12,0.0809977
D19S433,12.2,0.0333914
D19S433,13,0.242591
D19S433,13.2,0.0407671
D19S433,14,0.253051
D19S433,14.2,0.0501542
D19S433,15,0.12619
D19S433,15.2,0.0231997
D19S433,16,0.0193107
D19S433,16.2,0.0398283
D1S1656,9,0.000137174
D1S1656,10,0.0190672
D1S1656,11,0.0679012
D1S1656,12,0.127572
D1S1656,13,0.125926
D1S1656,14,0.166392
D1S1656,14.3,0.000960219
D1S1656,15,0.192318
D1S1656,15.3,0.0148148
D1S1656,16,0.105761
D1S1656,16.3,0.0672154
D1S1656,17,0.0104252
D1S1656,17.1,0.00150892
D1S1656,17.3,0.0725652
D1S1656,18.3,0.0175583
D1S1656,19.3,0.00987654
D21S11,24,0.000149835
D21S11,24.3,0.0103386
D21S11,26,0.00479473
D21S11,27,0.069074
D21S11,28,0.152382
D21S11,29,0.198681
D21S11,30,0.152382
D21S11,30.2,0.024573
D21S11,31,0.101888
D21S11,31.2,0.135301
D21S11,32,0.0139347
D21S11,32.2,0.0801618
D21S11,33,0.00958945
D21S11,33.2,0.0106383
D21S11,34,0.00659275
D21S11,35,0.0295175
D22S1045,9,0.000133511
D22S1045,10,0.0216288
D22S1045,11,0.179973
D22S1045,12,0.0327103
D22S1045,13,0.00694259
D22S1045,14,0.123899
D22S1045,15,0.2247
D22S1045,16,0.193458
D22S1045,17,0.164887
D22S1045,18,0.0425901
D22S1045,19,0.00841121
D22S1045,20,0.000667557
D2S1338,15,0.0086916
D2S1338,16,0.0622381
D2S1338,17,0.0889337
D2S1338,18,0.069688
D2S1338,19,0.191991
D2S1338,20,0.105386
D2S1338,21,0.0712401
D2S1338,22,0.139531
D2S1338,23,0.0925035
D2S1338,24,0.0658079
D2S1338,25,0.0940556
D2S1338,26,0.00993326
D2S441,8,0.000143123
D2S441,9,0.017461
D2S441,9.1,0.000143123
D2S441,10,0.176471
D2S441,11,0.267497
D2S441,11.3,0.0310577
D2S441,12,0.171318
D2S441,12.3,0.000143123
D2S441,13,0.0397882
D2S441,13.3,0.000143123
D2S441,14,0.250036
D2S441,15,0.0386432
D2S441,16,0.00715615
D3S1358,13,0.0188266
D3S1358,14,0.16815
D3S1358,15,0.332946
D3S1358,16,0.254288
D3S1358,17,0.155255
D3S1358,18,0.0704062
D3S1358,18.2,0.000128949
D5S818,8,0.00799262
D5S818,9,0.013526
D5S818,10,0.113126
D5S818,11,0.336612
D5S818,12,0.325853
D5S818,13,0.183677
D5S818,14,0.019213
D7S820,6,0.000397219
D7S820,7,0.0188679
D7S820,8,0.234359
D7S820,9,0.221053
D7S820,10,0.176763
D7S820,11,0.213903
D7S820,12,0.106058
D7S820,13,0.0285998
D8S1179,7,0.000129786
D8S1179,9,0.0116807
D8S1179,10,0.0790396
D8S1179,11,0.095133
D8S1179,12,0.144971
D8S1179,13,0.316807
D8S1179,14,0.205191
D8S1179,15,0.110967
D8S1179,16,0.0359507
D8S1179,17,0.000129786
FGA,18,0.00302674
FGA,18.2,0.00117706
FGA,19,0.0808811
FGA,19.2,0.00891206
FGA,20,0.0760047
FGA,20.2,0.000504456
FGA,21,0.151337
FGA,21.2,0.00756684
FGA,22,0.129645
FGA,22.2,0.0124432
FGA,23,0.150664
FGA,24,0.170338
FGA,25,0.0822263
FGA,26,0.0337986
FGA,27,0.0612073
FGA,28,0.0302674
SE33,10,0.000783945
SE33,11,0.0108184
SE33,13,0.00501725
SE33,13.2,0.000783945
SE33,14,0.040138
SE33,14.2,0.00454688
SE33,15,0.0766698
SE33,16,0.0520539
SE33,17,0.0703982
SE33,18,0.133898
SE33,18.1,0.0114456
SE33,19,0.0586391
SE33,19.2,0.00172468
SE33,20,0.0630292
SE33,20.2,0.00940734
SE33,21,0.0614613
SE33,21.2,0.000627156
SE33,22,0.00972092
SE33,22.2,0.0103481
SE33,23,0.00313578
SE33,23.2,0.00893697
SE33,24,0.000627156
SE33,24.2,0.0274381
SE33,25.2,0.0583255
SE33,26.2,0.102854
SE33,27.2,0.0359047
SE33,28.2,0.0732204
SE33,29,0.00219505
SE33,29.2,0.0412355
SE33,30,0.0101913
SE33,30.2,0.00297899
SE33,31.2,0.0112888
SE33,38,0.000156789
TH01,5,0.000985707
TH01,6,0.182684
TH01,7,0.248727
TH01,8,0.168063
TH01,8.3,0.000164285
TH01,9,0.188763
TH01,9.3,0.210613
TPOX,6,0.0489117
TPOX,7,0.00153649
TPOX,8,0.402561
TPOX,9,0.108067
TPOX,10,0.120615
TPOX,11,0.264277
TPOX,12,0.0540333
vWA,11,0.0100033
vWA,12,0.000655953
vWA,13,0.0309938
vWA,14,0.055428
vWA,15,0.160708
vWA,16,0.257297
vWA,17,0.224992
vWA,18,0.163496
vWA,19,0.0774024
vWA,20,0.0188586
vWA,21,0.000163988
